[resume] starting fresh (no snapshot to resume from)
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /root/.netrc.
wandb: Currently logged in as: jasonna24 (jasonna24-) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run yfj17wvz
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/wandb/run-20260514_022320-yfj17wvz
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run trial3
wandb: ⭐️ View project at https://wandb.ai/jasonna24-/triplane-ae
wandb: 🚀 View run at https://wandb.ai/jasonna24-/triplane-ae/runs/yfj17wvz
[train] latent data_range (p99-p1) = 5.0900
/opt/conda/lib/python3.11/site-packages/torch/nn/modules/transformer.py:382: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
[train] exp=trial3  model=TriplaneAE  device=cuda
[train] batches=5000  batch_size=1  epochs=50
[eval] Loading MAISI decoder for image-domain validation...
[load_state] missing=0 unexpected=0
[eval] torch.compile disabled (eval.compile_maisi=false).
[eval] MAISI decoder ready.
[train] AMP mode: bfloat16 autocast (no GradScaler needed)
[epoch 2 step 3100]  loss=5.52e-01  l1=5.52e-01  psnr=16.2  cos=0.5404
[epoch 2 step 3150]  loss=5.56e-01  l1=5.56e-01  psnr=16.2  cos=0.5205
[epoch 2 step 3200]  loss=6.90e-01  l1=6.90e-01  psnr=14.6  cos=0.5059
[epoch 2 step 3250]  loss=6.00e-01  l1=6.00e-01  psnr=15.7  cos=0.4939
[epoch 2 step 3300]  loss=6.34e-01  l1=6.34e-01  psnr=15.1  cos=0.5298
[epoch 2 step 3350]  loss=5.32e-01  l1=5.32e-01  psnr=16.5  cos=0.5540
[epoch 2 step 3400]  loss=5.49e-01  l1=5.49e-01  psnr=16.1  cos=0.5977
[epoch 2 step 3450]  loss=5.76e-01  l1=5.76e-01  psnr=16.0  cos=0.5173
[epoch 2 step 3500]  loss=5.39e-01  l1=5.39e-01  psnr=16.2  cos=0.6163
[epoch 2 step 3550]  loss=6.42e-01  l1=6.42e-01  psnr=15.0  cos=0.5465
[epoch 2 step 3600]  loss=6.17e-01  l1=6.17e-01  psnr=15.6  cos=0.4340
[epoch 2 step 3650]  loss=5.77e-01  l1=5.77e-01  psnr=16.0  cos=0.4793
[epoch 2 step 3700]  loss=5.42e-01  l1=5.42e-01  psnr=16.3  cos=0.5803
[epoch 2 step 3750]  loss=5.39e-01  l1=5.39e-01  psnr=16.4  cos=0.5596
[epoch 2 step 3800]  loss=6.40e-01  l1=6.40e-01  psnr=15.2  cos=0.5227
[epoch 2 step 3850]  loss=7.07e-01  l1=7.07e-01  psnr=14.5  cos=0.4692
[epoch 2 step 3900]  loss=5.82e-01  l1=5.82e-01  psnr=15.8  cos=0.5061
[epoch 2 step 3950]  loss=6.65e-01  l1=6.65e-01  psnr=14.8  cos=0.5340
[epoch 2 step 4000]  loss=5.62e-01  l1=5.62e-01  psnr=15.9  cos=0.6057
[epoch 2 step 4050]  loss=6.54e-01  l1=6.54e-01  psnr=14.8  cos=0.5309
[epoch 2 step 4100]  loss=7.23e-01  l1=7.23e-01  psnr=14.0  cos=0.4910
[epoch 2 step 4150]  loss=5.50e-01  l1=5.50e-01  psnr=16.0  cos=0.6248
[epoch 2 step 4200]  loss=5.22e-01  l1=5.22e-01  psnr=16.4  cos=0.6153
[epoch 2 step 4250]  loss=6.26e-01  l1=6.26e-01  psnr=15.3  cos=0.5395
[epoch 2 step 4300]  loss=7.29e-01  l1=7.29e-01  psnr=13.9  cos=0.4758
[epoch 2 step 4350]  loss=5.75e-01  l1=5.75e-01  psnr=16.0  cos=0.5304
[epoch 2 step 4400]  loss=5.95e-01  l1=5.95e-01  psnr=15.9  cos=0.4568
[epoch 2 step 4450]  loss=5.67e-01  l1=5.67e-01  psnr=16.0  cos=0.5761
[epoch 2 step 4500]  loss=5.53e-01  l1=5.53e-01  psnr=16.2  cos=0.5474
[epoch 2 step 4550]  loss=5.90e-01  l1=5.90e-01  psnr=15.9  cos=0.4906
[epoch 2 step 4600]  loss=4.96e-01  l1=4.96e-01  psnr=16.8  cos=0.6509
[epoch 2 step 4650]  loss=5.82e-01  l1=5.82e-01  psnr=15.9  cos=0.5083
[epoch 2 step 4700]  loss=6.89e-01  l1=6.89e-01  psnr=14.8  cos=0.5132
[epoch 2 step 4750]  loss=5.69e-01  l1=5.69e-01  psnr=16.1  cos=0.5906
[epoch 2 step 4800]  loss=5.70e-01  l1=5.70e-01  psnr=15.8  cos=0.5759
[epoch 2 step 4850]  loss=5.04e-01  l1=5.04e-01  psnr=16.6  cos=0.6022
[epoch 2 step 4900]  loss=6.70e-01  l1=6.70e-01  psnr=14.7  cos=0.5409
[epoch 2 step 4950]  loss=5.40e-01  l1=5.40e-01  psnr=16.2  cos=0.6241
[epoch 2 DONE]  final_loss=6.44e-01  psnr=16.15  cos=0.6241
[checkpoint] /workspace/runs/trial3/checkpoints/epoch_0002.pt
[val epoch 2]  latent_l1=0.5910  latent_l2=0.8352  latent_psnr=26.2892
[epoch 3 step 000]  loss=6.34e-01  l1=6.34e-01  psnr=15.0  cos=0.5578
[epoch 3 step 050]  loss=5.84e-01  l1=5.84e-01  psnr=15.8  cos=0.5766
[epoch 3 step 100]  loss=5.98e-01  l1=5.98e-01  psnr=15.8  cos=0.4918
[epoch 3 step 150]  loss=7.34e-01  l1=7.34e-01  psnr=14.2  cos=0.4905
[epoch 3 step 200]  loss=6.12e-01  l1=6.12e-01  psnr=15.6  cos=0.4822
[epoch 3 step 250]  loss=7.14e-01  l1=7.14e-01  psnr=14.1  cos=0.5086
[epoch 3 step 300]  loss=5.91e-01  l1=5.91e-01  psnr=15.8  cos=0.5128
[epoch 3 step 350]  loss=5.60e-01  l1=5.60e-01  psnr=16.2  cos=0.4982
[epoch 3 step 400]  loss=5.92e-01  l1=5.92e-01  psnr=15.8  cos=0.5044
[epoch 3 step 450]  loss=7.08e-01  l1=7.08e-01  psnr=14.4  cos=0.4918
[epoch 3 step 500]  loss=6.61e-01  l1=6.61e-01  psnr=14.6  cos=0.5348
[epoch 3 step 550]  loss=7.26e-01  l1=7.26e-01  psnr=14.1  cos=0.4485
[epoch 3 step 600]  loss=7.45e-01  l1=7.45e-01  psnr=14.0  cos=0.4906
